0,1
AAL,WDC
AAP,EW
AAP,NTAP
AAP,NTRS
AAPL,JBHT
AAPL,TMO
AAPL,UNP
ABBV,ABC
ABBV,ADM
ABC,ADM
ABC,WRB
ABT,AOS
ABT,DD
ABT,EL
ABT,EMN
ABT,NSC
ABT,SHW
ABT,TEL
ACGL,RE
ACN,FAST
ACN,MSFT
ADI,EMR
ADI,MLM
ADI,ORCL
ADI,VMC
ADI,YUM
ADP,PM
ADSK,MMM
ADSK,QRVO
AEE,CNP
AEE,COST
AEE,GD
AEE,KO
AEE,LHX
AEE,PFE
AEE,PM
AEE,PSA
AEE,RSG
AEE,UNH
AEE,WM
AEP,ETR
AEP,HSY
AEP,KO
AEP,NOC
AEP,WRB
AFL,SJM
AIG,HIG
AIG,ULTA
AJG,MCD
AJG,UNH
AJG,WAB
AKAM,DLR
ALK,MHK
ALL,IBM
ALLE,C
AMAT,CFG
AMAT,NXPI
AMCR,JNJ
AMCR,MNST
AMCR,STZ
AME,VMC
ANSS,ECL
ANSS,SWK
AON,WAB
APA,DVN
APH,IR
APH,NEE
APH,TMO
ATO,LMT
AVY,GS
AWK,BLK
AWK,BR
AWK,CPRT
AWK,DHR
AWK,DOV
AWK,EFX
AWK,EMR
AWK,EXPD
AWK,GOOG
AWK,GOOGL
AWK,HD
AWK,IDXX
AWK,IQV
AWK,IR
AWK,ISRG
AWK,ITW
AWK,JCI
AWK,LH
AWK,MLM
AWK,MSFT
AWK,MTD
AWK,NKE
AWK,ORCL
AWK,PKI
AWK,POOL
AWK,RMD
AWK,ROK
AWK,ROP
AWK,SHW
AWK,SYK
AWK,TECH
AWK,TEL
AWK,TGT
AWK,UPS
AWK,VMC
AWK,WST
AWK,ZTS
AXP,HCA
AXP,KIM
AXP,PRU
AXP,TXT
AZO,PEP
AZO,UNH
BA,NCLH
BAC,BEN
BAC,FOXA
BAC,NTAP
BBY,SWKS
BEN,BK
BEN,BKNG
BEN,PNC
BEN,STT
BEN,USB
BIO,EBAY
BIO,NKE
BK,NTAP
BKNG,CE
BKNG,DOW
BKNG,FFIV
BKNG,FOX
BKNG,FOXA
BKNG,GM
BKNG,IP
BKNG,JPM
BKNG,MU
BKNG,NTRS
BKNG,PNR
BKNG,STT
BKNG,TFC
BKNG,TRMB
BKNG,USB
BKNG,WHR
BKNG,WRK
BLK,EL
BMY,SRE
BRK-B,HSIC
BRK-B,MO
BRK-B,PM
BRO,COST
BRO,PFE
BRO,PSA
BWA,PPG
BWA,WHR
CB,WAB
CDW,ETN
CDW,GS
CDW,MLM
CDW,ORCL
CDW,YUM
CF,ELV
CF,EOG
CF,PXD
CHTR,META
CINF,WELL
CL,UPS
CMCSA,MDT
CMCSA,MMM
CMCSA,QRVO
CMCSA,SWKS
CME,EQR
CME,FOXA
CME,STX
CME,TSN
CNC,CNP
CNC,EXC
CNC,HSY
CNC,NI
CNC,NOC
CNC,PEP
CNC,SO
CNC,SRE
CNP,GD
CNP,KO
COF,DXC
COP,LLY
COP,MCK
COST,PFE
CSCO,EFX
CSX,MTD
CSX,UPS
CSX,VMC
CTAS,MCD
CTAS,NEE
CTAS,WAB
CVS,KDP
CVX,MCK
DD,MA
DD,NWS
DD,SYK
DG,HUM
DGX,DHR
DGX,LIN
DGX,NDAQ
DGX,NDSN
DGX,ORCL
DGX,VMC
DGX,WAB
DGX,YUM
DIS,QRVO
DIS,SWKS
DOV,LH
DPZ,EQIX
DPZ,MCO
DTE,DUK
DTE,JNJ
DUK,MO
DUK,PAYX
DUK,PSA
DVA,MDT
ECL,META
ECL,VFC
EFX,MCO
EL,LH
EL,SHW
ELV,EOG
ELV,HES
ELV,IRM
ELV,NUE
ELV,PXD
ELV,STLD
ELV,WMB
EMN,MA
EMR,TXN
EMR,YUM
EOG,LLY
EQT,OXY
ETN,VMC
ETN,YUM
ETR,EXC
ETR,KO
EVRG,LHX
FAST,MSFT
FAST,SEE
FAST,STE
FAST,UNP
FISV,ZBH
FLT,VFC
FOX,NTRS
FOX,PEAK
FOX,RL
FOX,TFC
FOX,USB
FOXA,NTRS
FOXA,RL
FOXA,TFC
FOXA,USB
FRC,TRMB
FRT,WFC
GE,RL
GEN,GOOG
GEN,GOOGL
GEN,INVH
GEN,IQV
GEN,LH
GEN,MAA
GEN,PLD
GEN,RHI
GEN,SEE
GIS,MRK
GLW,MA
GOOG,IQV
GOOG,LH
GOOGL,LH
GPC,HUM
GWW,SJM
HAS,LUMN
HAS,NWL
HCA,IPG
HCA,MS
HCA,TXT
HD,ORCL
HES,LLY
HES,MCK
HES,MPC
HES,PSX
HES,SLB
HES,XOM
HIG,RJF
HIG,ULTA
HII,KMI
HLT,HPE
HLT,L
HLT,ZION
HPE,HST
HPE,MAR
HSIC,MDLZ
HSIC,MO
HSIC,PEG
HSIC,PM
HSIC,SEE
HST,L
HST,MAR
HST,MTB
HST,SYY
HSY,WRB
HUM,ORLY
HUM,PGR
HUM,SJM
IBM,JNJ
IBM,MDLZ
IBM,PM
IBM,RE
IBM,SJM
IBM,TRV
IBM,UNH
IDXX,NKE
IEX,TJX
IFF,KMX
IFF,LUMN
INVH,RHI
IP,WRK
IPG,TXT
IQV,LH
IQV,ORCL
IQV,VMC
IR,VMC
IRM,NUE
IRM,OKE
IRM,RJF
IRM,ULTA
ISRG,ROK
ITW,VMC
J,MLM
JBHT,KDP
JBHT,LIN
JBHT,UNP
JCI,ORCL
JNJ,KDP
JNJ,MO
JNJ,PM
JNJ,TRV
JNJ,WAB
JPM,RL
KDP,WAB
KEY,LYV
KEY,MGM
KIM,PRU
KLAC,LKQ
KLAC,ODFL
KLAC,PRU
KLAC,RF
KMI,RTX
L,MAR
LEN,NVR
LEN,NXPI
LH,MLM
LH,SYK
LH,TDY
LH,TECH
LH,TEL
LH,TGT
LH,TXN
LH,VMC
LHX,PSA
LIN,WAB
LIN,YUM
LLY,MPC
LNC,SBNY
LNC,SIVB
LNT,MAA
LNT,MDLZ
LNT,MMC
LNT,PAYX
LNT,PM
LNT,PSA
LNT,RSG
LNT,SEE
LNT,WM
LOW,ODFL
LRCX,NVR
LRCX,NXPI
MA,NSC
MA,NWS
MA,NWSA
MA,SYK
MA,TXN
MAR,MTB
MAR,SYY
MCD,WAB
MCHP,NVR
MCHP,PH
MCK,MPC
MCK,VLO
MCK,XOM
MCO,POOL
MDLZ,WAB
MDT,QRVO
MET,RJF
MET,ULTA
META,MMM
META,SWK
MLM,VMC
MMC,WAB
MMM,QRVO
MMM,SWK
MMM,SWKS
MMM,XRAY
