0,1
A,AAPL
A,ABBV
A,ABC
A,ABT
A,ACGL
A,ACN
A,ADI
A,ADM
A,ADP
A,AEE
A,AEP
A,AFL
A,AJG
A,ALL
A,AMCR
A,AME
A,AMGN
A,AON
A,AOS
A,APD
A,APH
A,ATO
A,ATVI
A,AVY
A,AWK
A,AZO
A,BDX
A,BF-B
A,BIO
A,BLK
A,BMY
A,BR
A,BRK-B
A,BRO
A,BSX
A,CAG
A,CAH
A,CAT
A,CB
A,CBOE
A,CCI
A,CDW
A,CHD
A,CHRW
A,CI
A,CL
A,CLX
A,CMI
A,CMS
A,CNC
A,CNP
A,COO
A,COST
A,CPB
A,CPRT
A,CPT
A,CSCO
A,CSGP
A,CSX
A,CTAS
A,CVS
A,DD
A,DG
A,DGX
A,DHR
A,DOV
A,DPZ
A,DTE
A,DUK
A,EA
A,EBAY
A,ED
A,EFX
A,EL
A,EMN
A,EMR
A,EQIX
A,ES
A,ETN
A,ETR
A,EVRG
A,EXC
A,EXPD
A,EXR
A,FAST
A,FDS
A,FDX
A,FMC
A,GD
A,GEN
A,GILD
A,GIS
A,GL
A,GLW
A,GOOG
A,GOOGL
A,GPC
A,GRMN
A,GS
A,GWW
A,HD
A,HOLX
A,HON
A,HRL
A,HSIC
A,HSY
A,HUM
A,IBM
A,ICE
A,IDXX
A,IEX
A,INVH
A,IQV
A,IR
A,ISRG
A,ITW
A,J
A,JBHT
A,JCI
A,JKHY
A,JNJ
A,JNPR
A,K
A,KDP
A,KEYS
A,KHC
A,KMB
A,KO
A,KR
A,LDOS
A,LH
A,LHX
A,LIN
A,LMT
A,LNT
A,MA
A,MAA
A,MCD
A,MCO
A,MDLZ
A,MKC
A,MLM
A,MMC
A,MNST
A,MO
A,MRK
A,MSFT
A,MSI
A,MTD
A,NDAQ
A,NDSN
A,NEE
A,NEM
A,NI
A,NKE
A,NOC
A,NSC
A,NWS
A,NWSA
A,OMC
A,ORCL
A,ORLY
A,PAYX
A,PCAR
A,PEG
A,PEP
A,PFE
A,PG
A,PGR
A,PKG
A,PKI
A,PLD
A,PM
A,POOL
A,PSA
A,RE
A,REGN
A,RHI
A,RMD
A,ROK
A,ROL
A,ROP
A,RSG
A,SBAC
A,SBUX
A,SEE
A,SHW
A,SJM
A,SNA
A,SO
A,SPGI
A,SRE
A,STE
A,STZ
A,SYK
A,TDY
A,TECH
A,TEL
A,TGT
A,TJX
A,TMO
A,TMUS
A,TRV
A,TT
A,TXN
A,UNH
A,UNP
A,UPS
A,V
A,VMC
A,VRSK
A,VRSN
A,VRTX
A,WAB
A,WAT
A,WEC
A,WM
A,WMT
A,WRB
A,WST
A,WTW
A,XEL
A,XYL
A,YUM
A,ZTS
AAL,ALGN
AAL,ALK
AAL,APTV
AAL,BA
AAL,BIIB
AAL,CCL
AAL,CDAY
AAL,COF
AAL,DAL
AAL,DISH
AAL,DXC
AAL,EXPE
AAL,GNRC
AAL,KEY
AAL,LNC
AAL,LVS
AAL,LYV
AAL,MGM
AAL,MHK
AAL,MTCH
AAL,NCLH
AAL,NFLX
AAL,PARA
AAL,RCL
AAL,SBNY
AAL,SIVB
AAL,SPG
AAL,SYF
AAL,UAL
AAL,VTR
AAL,WBD
AAL,WDC
AAL,WYNN
AAP,ADBE
AAP,ADSK
AAP,AIZ
AAP,AKAM
AAP,ALLE
AAP,AMT
AAP,AMZN
AAP,ANSS
AAP,ARE
AAP,AVB
AAP,BAC
AAP,BALL
AAP,BAX
AAP,BBY
AAP,BEN
AAP,BK
AAP,BKNG
AAP,BWA
AAP,BXP
AAP,C
AAP,CE
